"","directorio","p6050","fex_c","ingtot","ocu","p6210s1","p6210","maxEducLevel","p6426","age","sex","estrato1","formal","informal","clase","oficio","sizeFirm","p7040","hoursWorkUsual","relab","cuentaPropia","microEmpresa","college","mean_ingtot","ingtot_boxcox","age_2","nuevo_pred","residuos","prediccion1","prediccion1_boxcox","female","log_income","predict_gender","femalenum","res_y","res_f","maxEducLevel_years","p6210_years","exp_pot_maxedu","exp_pot_p6210","exp_pot_p6210_2","dos_trabajo"
"712","4526813","5",222.637605988658,8e+05,"1","6","4","5",240,63,"1","1","0","1","1","45","1","2",24,"4","1","1","0",882403.333333333,17.3804537583836,3969,1866327.40253779,-1066327.40253779,1866327.4025378,17.7406626653144,"0",13.5923670066501,990174.826598293,0,0.283689373838137,-0.348754844521364,10,9,48,49,2401,0
"713","4526814","3",236.49776986665,9e+05,"1","11","5","6",180,32,"1","1","0","1","1","85","1","2",40,"4","1","1","1",737500,17.5698717168362,1024,1498872.56653967,-598872.566539667,1498872.56653968,17.9536547758555,"0",13.7101500423064,920998.625912977,0,0.214936043086923,-0.407968909200708,11,13,16,14,196,0
"714","4526814","1",236.49776986665,4e+05,"1","4","3","3",180,53,"1","1","0","1","1","85","1","2",48,"4","1","1","0",737500,16.281332745373,2809,1896482.44082682,-1496482.44082682,1896482.44082683,18.0351747079697,"0",12.8992198260901,1905923.64609663,0,-0.508608696901397,-0.406368563690422,4,5,44,43,1849,0
"715","4526814","3",236.49776986665,912500,"1","11","5","6",12,23,"1","1","1","0","1","34","5","2",48,"1","0","0","1",737500,17.5921048859948,529,1137296.94796283,-224796.947962826,1137296.94796284,17.6283970632346,"0",13.7239433644388,1612652.33112363,0,0.0733403719941941,-0.331702033183513,11,13,7,5,25,0
"716","4526815","3",258.930775080009,9e+05,"1","5","6","7",60,27,"1","3","0","1","1","59","1","2",4,"4","1","1","0",2111666.5,17.5698717168362,729,1312158.06634805,-412158.066348051,1312158.06634806,17.7944612761667,"0",13.7101500423064,776352.556223567,0,-0.0659086425000216,-0.565955234859475,15,19,7,3,9,0
"717","4526815","1",258.930775080009,3323333,"1","6","6","7",60,32,"1","3","0","1","1","11","5","2",45,"1","0","0","0",2111666.5,19.7235988003995,1024,1498872.56653967,1824460.43346033,1498872.56653968,17.9536547758555,"0",15.016478752969,1981285.21345822,0,1.15667778669156,-0.590940632139499,15,19,12,8,64,0
"718","4526816","1",352.079215448786,1225473.33333333,"1","11","5","6",24,35,"1","2","1","0","1","58","5","2",84,"1","0","0","1",1212736.66666667,18.0700012845264,1225,1593908.25450002,-368434.921166685,1593908.25450003,18.0233646002148,"0",14.0188377218876,2002209.9570329,0,0.0746618208079261,-0.437822995436451,11,13,19,17,289,0
"719","4526816","2",352.079215448786,1200000,"1","11","5","6",12,38,"0","2","0","1","1","45","1","1",28,"4","1","1","1",1212736.66666667,18.03579778489,1444,1676199.1833444,-476199.183344398,1676199.18334441,18.0737197179836,"1",13.9978321147582,1617646.66717874,1,0.548746609449581,0.484326075800058,11,13,22,20,400,1
"720","4526817","5",289.963867476069,7e+05,"1","5","3","4",24,26,"1","2","0","1","1","45","1","2",48,"4","1","1","0",935153.333333335,17.1666464379872,676,1270566.91327107,-570566.913271072,1270566.91327108,17.7561710073654,"0",13.4588356140255,1415667.3270869,0,0.289059448891327,-0.425907930811125,5,5,16,16,256,0
"721","4526817","1",289.963867476069,1170306.66666667,"1","11","5","6",3,22,"1","2","1","0","1","58","5","2",48,"1","0","0","1",935153.333333335,17.9950321384505,484,1090041.45750097,80265.2091656969,1090041.45750098,17.5815047026153,"0",13.9727763806917,1566552.91427384,0,0.283773566591769,-0.373611604577825,11,13,6,4,16,0
"722","4526818","1",341.979787849128,2370000,"1","3","6","7",132,32,"1","2","1","0","1","58","5","2",60,"2","0","0","0",2370000,19.1567880915617,1024,1498872.56653967,871127.433460333,1498872.56653968,17.9536547758555,"0",14.6784005131113,2093921.43334123,0,0.341087869072242,-0.484682329397705,15,19,12,8,64,0
"723","4526819","1",230.177656890553,2e+06,"1","6","6","7",360,63,"1","3","0","1","1","12","1","2",54,"4","1","1","0",2e+06,18.874708019171,3969,1866327.40253779,133672.597462213,1866327.4025378,17.7406626653144,"0",14.5086577385242,1057253.13784402,0,0.433982869443221,-0.477060446499665,15,19,43,39,1521,0
